"id","name","cuisine","location","capacity","price_tier","rating","coords__lat","coords__lon","description"
"65","HSR Layout Vegan Place 65","Vegan","HSR Layout","30","budget","3.4","12.98371267513098","77.55102738191509","Vegan cuisine at HSR Layout seating 30."
"66","Indiranagar Chinese Place 66","Chinese","Indiranagar","8","mid","4.5","12.969333295808797","77.59500942513782","Chinese cuisine at Indiranagar seating 8."
"67","Brigade Road Indian Place 67","Indian","Brigade Road","12","premium","3.6","12.964465350786927","77.54781001210627","Indian cuisine at Brigade Road seating 12."
"68","Rajajinagar Italian Place 68","Italian","Rajajinagar","4","mid","4.5","13.017986381984423","77.56822792436945","Italian cuisine at Rajajinagar seating 4."
"69","Brigade Road Mediterranean Place 69","Mediterranean","Brigade Road","2","premium","4.4","12.949892677810578","77.54091619760928","Mediterranean cuisine at Brigade Road seating 2."
"70","Brigade Road Vegan Place 70","Vegan","Brigade Road","10","budget","4.3","12.958903573574512","77.61988396919375","Vegan cuisine at Brigade Road seating 10."
"71","Bannerghatta Japanese Place 71","Japanese","Bannerghatta","8","premium","3.8","12.923782613857718","77.57475737138435","Japanese cuisine at Bannerghatta seating 8."
"72","HSR Layout Japanese Place 72","Japanese","HSR Layout","8","mid","4.4","12.931694817352232","77.57710097273753","Japanese cuisine at HSR Layout seating 8."
"73","Brigade Road American Place 73","American","Brigade Road","8","mid","4.3","12.92481120725423","77.63640980470167","American cuisine at Brigade Road seating 8."
"74","Bannerghatta Japanese Place 74","Japanese","Bannerghatta","8","mid","4.2","12.959780719160047","77.55840375955516","Japanese cuisine at Bannerghatta seating 8."
"75","Koramangala Indian Place 75","Indian","Koramangala","12","budget","3.8","13.017527158868754","77.55199240640452","Indian cuisine at Koramangala seating 12."
"76","Rajajinagar Thai Place 76","Thai","Rajajinagar","20","budget","4.6","12.98695924328964","77.56093343742464","Thai cuisine at Rajajinagar seating 20."
"77","Whitefield Thai Place 77","Thai","Whitefield","20","premium","4.2","12.98387750025656","77.59001205624925","Thai cuisine at Whitefield seating 20."
"78","Whitefield Indian Place 78","Indian","Whitefield","2","mid","3.4","12.983259823645074","77.55819965388882","Indian cuisine at Whitefield seating 2."
"79","Jayanagar Indian Place 79","Indian","Jayanagar","12","premium","4.7","12.937260157179841","77.59035987178119","Indian cuisine at Jayanagar seating 12."
"80","Hebbal Indian Place 80","Indian","Hebbal","20","mid","4.7","12.943467672427772","77.59891080984765","Indian cuisine at Hebbal seating 20."
"81","Jayanagar Mexican Place 81","Mexican","Jayanagar","4","mid","3.2","12.937210546153283","77.54938505743333","Mexican cuisine at Jayanagar seating 4."
"82","Indiranagar Italian Place 82","Italian","Indiranagar","20","mid","3.6","13.007747461491036","77.58161458498168","Italian cuisine at Indiranagar seating 20."
"83","Koramangala Vegan Place 83","Vegan","Koramangala","2","mid","4.5","12.960523466546542","77.60796243272019","Vegan cuisine at Koramangala seating 2."
"84","Indiranagar Italian Place 84","Italian","Indiranagar","20","budget","3.3","12.932073247955085","77.55355361108508","Italian cuisine at Indiranagar seating 20."
"85","Koramangala Japanese Place 85","Japanese","Koramangala","30","premium","3.3","12.920911867849718","77.55020198693936","Japanese cuisine at Koramangala seating 30."
"86","Whitefield American Place 86","American","Whitefield","4","budget","3.5","12.937235015679065","77.56218648121943","American cuisine at Whitefield seating 4."
"87","MG Road Japanese Place 87","Japanese","MG Road","8","premium","4.2","12.97746702233989","77.57621242716222","Japanese cuisine at MG Road seating 8."
"88","Indiranagar Chinese Place 88","Chinese","Indiranagar","12","budget","4.8","12.929490919255521","77.59560731293539","Chinese cuisine at Indiranagar seating 12."
"89","Whitefield Italian Place 89","Italian","Whitefield","12","premium","4.2","12.983439123728761","77.58012361900698","Italian cuisine at Whitefield seating 12."
"90","Koramangala Italian Place 90","Italian","Koramangala","2","budget","4.3","12.972171747244587","77.60820496031367","Italian cuisine at Koramangala seating 2."
"91","MG Road Indian Place 91","Indian","MG Road","2","mid","4.9","13.004928619181925","77.60031007825701","Indian cuisine at MG Road seating 2."
"92","Indiranagar Mediterranean Place 92","Mediterranean","Indiranagar","10","budget","4.2","13.008953657169046","77.60948638696833","Mediterranean cuisine at Indiranagar seating 10."
"93","HSR Layout Indian Place 93","Indian","HSR Layout","30","budget","3.8","12.9658967952678","77.59169788991896","Indian cuisine at HSR Layout seating 30."
"94","Whitefield Mediterranean Place 94","Mediterranean","Whitefield","30","premium","4.3","12.975348885578198","77.56348858790557","Mediterranean cuisine at Whitefield seating 30."
"95","Rajajinagar Mediterranean Place 95","Mediterranean","Rajajinagar","12","premium","3.5","12.992472061622568","77.56148798898633","Mediterranean cuisine at Rajajinagar seating 12."
"96","Bannerghatta Indian Place 96","Indian","Bannerghatta","12","budget","3.3","12.994139217878208","77.58643914463259","Indian cuisine at Bannerghatta seating 12."
"97","HSR Layout Japanese Place 97","Japanese","HSR Layout","6","premium","4.1","12.933592620025419","77.55600408129544","Japanese cuisine at HSR Layout seating 6."
"98","Indiranagar Chinese Place 98","Chinese","Indiranagar","10","budget","4.4","13.009880654600973","77.62878595789535","Chinese cuisine at Indiranagar seating 10."
"99","Bannerghatta French Place 99","French","Bannerghatta","12","premium","3.3","12.950238387004786","77.60700883463008","French cuisine at Bannerghatta seating 12."
"100","HSR Layout American Place 100","American","HSR Layout","20","premium","4.2","12.994158896993872","77.61024585448916","American cuisine at HSR Layout seating 20."
